period,date,one,two,three,four,five,six,special,
103000092,11-04,20,38,03,35,30,41,47
103000091,10-31,14,08,27,49,10,02,20
103000090,10-28,16,32,25,05,37,44,21
103000089,10-24,36,01,20,45,17,37,15
103000088,10-21,31,44,42,28,14,38,45
103000087,10-17,32,36,33,02,20,11,39
103000086,10-14,47,36,20,09,14,10,08
103000085,10-10,11,26,01,24,28,19,33
103000084,10-07,45,40,17,47,18,41,29
103000083,10-03,10,14,19,37,24,35,39
103000082,09-30,49,41,18,47,36,35,15
103000081,09-26,15,19,29,22,37,08,39
103000080,09-23,38,28,20,32,02,11,16
103000079,09-19,06,17,29,02,32,39,04
103000078,09-16,41,19,07,18,16,12,45
103000077,09-12,27,49,02,36,31,23,15
103000076,09-09,42,49,21,41,29,23,14
103000075,09-05,16,25,32,10,36,27,45
103000074,09-02,39,36,43,07,08,42,22
103000073,08-29,39,38,21,23,10,09,35
103000072,08-26,23,32,43,19,01,17,09
103000071,08-22,43,08,23,30,16,31,18
103000070,08-19,12,19,06,07,14,09,17
103000069,08-15,47,46,29,23,18,48,05
103000068,08-12,12,10,06,04,34,45,44
103000067,08-08,32,42,26,45,38,31,37
103000066,08-05,40,11,26,33,04,42,34
103000065,08-01,45,08,21,32,05,23,18
103000064,07-29,47,36,32,31,44,34,46
103000063,07-25,45,30,21,32,05,35,26
103000062,07-22,28,03,13,09,17,42,14
103000061,07-18,19,15,21,02,30,01,40
103000060,07-15,07,32,18,23,48,34,13
103000059,07-11,07,18,30,01,15,14,33
103000058,07-08,33,10,39,22,47,25,38
103000057,07-04,48,14,24,17,27,03,28
103000056,07-01,09,21,48,08,07,06,18
103000055,06-27,35,34,36,27,13,21,24
103000054,06-24,14,40,08,01,12,41,15
103000053,06-20,14,36,12,16,33,47,48
103000052,06-17,03,06,20,48,18,25,12
103000051,06-13,28,32,37,42,04,21,16
103000050,06-10,03,32,11,35,33,28,30
103000049,06-06,41,29,47,49,25,40,48
103000048,06-03,31,32,16,44,35,33,46
103000047,05-30,21,09,17,35,24,30,15
103000046,05-27,26,19,23,10,39,32,16
103000045,05-23,30,11,22,46,17,27,15
103000044,05-20,34,33,30,13,35,06,38
103000043,05-16,45,41,31,42,14,38,29
103000042,05-13,32,20,31,44,29,15,23
103000041,05-09,13,01,27,21,37,11,03
103000040,05-06,10,46,39,35,40,25,31
103000039,05-02,01,25,37,23,07,40,12
103000038,04-29,02,46,09,44,30,27,22
103000037,04-25,46,24,34,04,38,35,30
103000036,04-22,18,37,20,11,12,15,42
103000035,04-18,08,48,15,40,09,44,24
103000034,04-15,26,44,24,08,35,05,41
103000033,04-11,01,03,17,09,12,04,15
103000032,04-08,28,27,17,01,45,14,11
103000031,04-04,08,24,35,37,41,47,23
103000030,04-01,46,18,29,30,47,22,06
103000029,03-28,09,18,23,36,47,35,41
103000028,03-25,19,25,47,42,30,23,16
103000027,03-21,47,26,46,08,31,18,20
103000026,03-18,26,40,35,39,12,28,16
103000025,03-14,47,08,40,41,27,02,28
103000024,03-11,40,20,15,16,13,43,14
103000023,03-07,38,26,06,37,18,30,16
103000022,03-04,43,08,40,35,37,26,06
103000021,02-28,17,24,13,18,32,28,37
103000020,02-25,13,09,05,03,46,12,04
103000019,02-21,11,12,23,40,28,48,09
103000018,02-18,47,19,06,26,32,20,35
103000017,02-14,24,10,48,33,20,19,01
103000016,02-11,15,31,21,06,44,22,41
103000015,02-07,22,05,28,11,21,12,25
103000014,02-04,19,46,32,12,42,08,28
103000013,02-03,02,16,27,30,17,01,48
103000012,02-02,14,45,03,24,19,13,05
103000011,02-01,36,37,13,19,09,06,27
103000010,01-31,38,17,23,49,48,27,19
103000009,01-30,09,22,49,48,45,44,08
103000008,01-28,02,30,07,26,05,01,24
103000007,01-24,04,20,29,41,45,01,36
103000006,01-21,22,43,12,44,38,15,09
103000005,01-17,20,29,13,15,26,36,37
103000004,01-14,11,49,02,45,41,21,26
103000003,01-10,07,19,17,30,37,32,03
103000002,01-07,01,07,25,36,21,35,39
103000001,01-03,11,35,21,18,37,20,08
102000108,12-31,27,36,42,40,29,05,35
102000107,12-27,16,31,43,39,02,12,18
102000106,12-24,21,09,33,36,24,43,03
102000105,12-20,25,08,17,09,14,45,27
102000104,12-17,28,14,01,09,04,22,20
102000103,12-13,16,41,10,48,26,28,42
102000102,12-10,06,34,49,11,27,42,21
102000101,12-06,08,06,04,10,36,15,13
102000100,12-03,44,10,08,38,17,49,40
102000099,11-29,02,19,30,31,08,13,20
102000098,11-26,15,20,10,11,21,01,26
102000097,11-22,09,08,40,47,11,24,33
102000096,11-19,33,35,16,46,36,15,21
102000095,11-15,43,31,02,18,36,04,08
102000094,11-12,22,12,29,23,46,03,33
102000093,11-08,30,28,01,39,03,33,34
102000092,11-05,27,46,37,12,03,29,17
102000091,11-01,31,06,16,36,26,46,09
102000090,10-29,21,42,04,39,30,01,44
102000089,10-25,35,11,36,08,03,10,39
102000088,10-22,08,39,32,23,07,16,22
102000087,10-18,09,17,39,43,11,40,46
102000086,10-15,20,13,22,16,28,08,49
102000085,10-11,32,37,02,46,49,10,28
102000084,10-08,04,06,26,31,07,11,38
102000083,10-04,12,25,28,18,07,48,46
102000082,10-01,46,01,17,23,14,04,41
102000081,09-27,01,18,38,46,12,19,02
102000080,09-24,15,23,07,35,09,34,41
102000079,09-20,47,12,06,39,28,19,36
102000078,09-17,46,40,08,01,17,19,15
102000077,09-13,16,28,26,27,45,12,06
102000076,09-10,42,14,34,01,10,47,09
102000075,09-06,14,07,48,33,06,36,18
102000074,09-03,39,29,48,22,13,11,45
102000073,08-30,21,36,02,46,27,24,05
102000072,08-27,11,08,15,05,36,14,46
102000071,08-23,12,11,05,14,31,35,26
102000070,08-20,49,31,16,28,07,05,34
102000069,08-16,24,40,29,17,27,04,09
102000068,08-13,14,48,37,34,16,12,07
102000067,08-09,12,13,04,03,24,30,09
